36,5.555555556,5.555555556,56.18,0.0,1,0,0,0,-12,0,0,0,0,0,0,1,0,0,1,0
43,9.302325581,4.651162791,119.4,0.015789474,0,0,0,190,-122,0,0,0,0,0,1,0,0,0,1,0
29,27.5862069,3.448275862,125.24,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,10.81081081,5.405405405,69.62,0.023809524,1,0,0,84,-1,1,0,0,0,0,0,0,0,1,0,0
10,10.0,0.0,40.02,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
31,16.12903226,0.0,40.02,0.0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0
0,0.0,0.0,89.05,0.01369863,0,0,0,657,-11,0,0,0,0,0,1,0,0,0,1,0
44,38.63636364,0.0,50.57,0.142857143,1,0,0,49,-1,0,0,0,0,0,1,0,0,1,0,0
11,63.63636364,18.18181818,35.02,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0.0,0.0,22.69,0.0,0,0,0,0,-18,0,0,0,0,0,1,0,0,0,1,0
0,0.0,0.0,55.31,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0.0,0.0,50.91,0.0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0
21,4.761904762,0.0,70.29,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,54.05405405,0.0,50.4,0.0392156862745098,0,0,0,51,-91,1,0,0,0,0,0,0,0,0,0,1
73,43.83561644,16.43835616,94.79,0.101476014760148,0,1,1,542,33,0,0,0,0,1,0,0,0,0,0,1
43,9.302325581,6.976744186,82.38,0.002677376171352,0,0,0,747,-7,0,0,0,0,0,0,1,0,1,0,0
45,0.0,0.0,60.83,0.1875,1,0,0,16,-4,0,1,0,0,0,0,0,0,1,0,0
46,4.347826087,0.0,53.07,0.130434783,1,0,0,23,0,0,0,0,0,1,0,0,0,1,0,0
35,11.42857143,2.857142857,66.88,0.0,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,1
66,33.33333333,9.090909091,55.94,0.129032258,0,1,1,248,-129,0,1,0,0,0,0,0,0,1,0,0
10,100.0,0.0,28.45,0.020895522,1,0,0,670,-1,1,0,0,0,0,0,0,0,0,1,0
46,6.52173913,0.0,88.63,0.089552239,1,0,0,134,-21,0,0,0,0,0,1,0,0,0,1,0
0,0.0,0.0,70.0,0.0,0,0,0,0,-77,0,0,0,0,0,1,0,0,0,0,1
36,0.0,0.0,51.17,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
24,83.33333333,4.166666667,40.02,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
45,2.222222222,0.0,40.02,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
39,2.564102564,0.0,50.32,0.0,1,0,0,0,-10,0,1,0,0,0,0,0,0,1,0,0
35,0.0,0.0,57.6,0.666666667,1,0,0,3,-1,1,0,0,0,0,0,0,0,0,0,1
19,42.10526316,0.0,35.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8,75.0,62.5,46.49,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45,2.222222222,0.0,125.27,0.058823529,0,0,0,34,-1,0,0,0,0,0,0,1,0,0,1,0
34,0.0,0.0,57.63,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37,0.0,0.0,40.25,0.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0.0,0.0,61.61,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
48,2.083333333,2.083333333,59.99,0.049608355,0,0,0,383,-16,0,0,0,0,0,0,1,0,0,1,0
0,0.0,0.0,16.69,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
45,8.888888889,0.0,87.56,0.018918919,1,0,0,370,-5,0,1,0,0,0,0,0,0,1,0,0
16,0.0,0.0,50.01,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,39.39393939,12.12121212,40.02,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0.0,0.0,64.95,0.0,0,0,0,0,-7,0,0,0,0,1,0,0,0,0,0,1
45,0.0,0.0,86.57,0.0,1,0,0,0,-18,0,0,1,0,0,0,0,1,0,0,0
5,100.0,0.0,59.45,0.285714286,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0
43,51.1627907,2.325581395,58.7,0.0369843527738265,1,0,0,703,-28,0,1,0,0,0,0,0,0,0,1,0
36,16.66666667,0.0,40.02,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0.0,0.0,26.51,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
43,32.55813953,2.325581395,50.6,0.0,0,0,0,0,-6,0,0,0,0,1,0,0,0,0,0,1
0,0.0,0.0,29.82,0.0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0
29,3.448275862,3.448275862,29.61,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18,0.0,0.0,147.47,0.0119047619047619,0,0,0,420,0,0,0,0,0,0,0,1,0,1,0,0
